"Source Text","Translated Text"
"Donor","Spender"
"Donors","Spender"
"Donor Name","Spender"
"Donation","Spende"
"Donations","Spenden"
"Donation Receipt","Spendenbescheinigung"
"Donation Receipts","Spendenbescheinigungen"
"Receipt","Spendenbescheinigung"
"Thank You","Verdankung"
"Thank You Sent","Verdankung gesendet"
"Thank You Sent On","Verdankung gesendet am"
"Thank You Email Queue","Verdankung E-Mail-Warteschlange"
"Thank You Sent By","Verdankung gesendet von"
"Member","Mitglied"
"Members","Mitglieder"
"Membership","Mitgliedschaft"
"Memberships","Mitgliedschaften"
"Campaign","Kampagne"
"Donation Campaign","Spendenkampagne"
"Donation Campaigns","Spendenkampagnen"
"Spendenbescheinigung senden","Spendenbescheinigung senden"
"Spendenbescheinigung gesendet.","Spendenbescheinigung gesendet."
"Jährliche Spendenbescheinigungen erstellen","Jährliche Spendenbescheinigungen erstellen"
"Spendenbescheinigungen werden erstellt...","Spendenbescheinigungen werden erstellt..."
"{0} Spendenbescheinigungen erstellt","{0} Spendenbescheinigungen erstellt"
"Verdankung senden","Verdankung senden"
"Als extern verdankt markieren","Als extern verdankt markieren"
"Verdankung gesendet.","Verdankung gesendet."
"Spende als extern verdankt markiert.","Spende als extern verdankt markiert."
